,Experiment,Time,Species,Gm,Drought,Nutrient_Deficiency,Fs,Salinity,Photo,Ci,Cond,CTleaf,Trmmol,WUEi,WUEin,Fv_Fm,Fv_Fo,PI,SLA,LWC,Suc,OP,OP100,RWC,WP,N,C,Neoxanthin,Violaxanthin,Lutein,Zeaxanthin,Chl_b,Chl_a,B_carotene,Glucose,Fructose,Sucrose,Sugars,Starch,Ellagic,Gal,Rut,CTs
0,2018_EEL,0,Black Walnut,0,0,0,0,0,4.008928527,292.7434653,0.071229983,30.20782909,1.76279047,4.074426551,51.20093155,0.773955271,2.917366606,1.133436292,290.1220535,64.12869913,2.791647631,1.227649684,0.921473442,92.31626856,1.741390813,2.320088986,42.6271552,57.00634273,2.411085792,415.7098039,94.21954928,802.547155,1056.793841,180.6729133,4.11411964,4.321043819,2.106877274,10.37729458,2.430283952,215.3277664,123.0129417,37.91113728,16.15335379
1,2018_EEL,0,Black Walnut,0,0,0,0,0,13.27642354,278.2072963,0.271590553,37.85217527,5.071846096,1.886462787,53.81241495,0.783055244,3.581444899,1.103641491,286.1719457,66.05322558,2.953887254,1.678534015,1.228104745,85.95677687,0.384239029,2.64541631,45.33742278,26.201129,0.343515109,413.7476521,71.90916164,478.8074696,539.0544782,180.3879692,6.89007107,4.767852829,2.620891474,12.49402326,4.207400791,207.3914681,101.1764906,15.95979362,12.63595834
2,2018_EEL,0,Black Walnut,0,0,0,0,0,10.07387367,288.2471888,0.250632596,38.80205055,4.724182997,2.615705215,50.3430684,0.779793734,3.228577786,0.983928432,230.7797684,63.76855283,2.78124235,0.97211964,0.805249723,84.56819983,1.131972897,2.10047174,45.54914741,19.90963206,0.382257883,231.5089338,78.22296894,357.1275196,135.0327407,139.376769,6.141986483,4.895064972,1.737586829,12.85627038,4.045340555,200.7767943,108.2158025,25.35670394,18.78691662
3,2018_EEL,0,Black Walnut,0,0,0,0,0,5.130259337,283.8859867,0.074604572,30.40323837,1.348681744,3.106062159,51.93336614,0.775108721,3.394285208,1.129565997,253.7128619,64.69307262,2.783712744,1.147100314,0.988842513,91.14852147,1.937084587,2.526928678,43.62942151,55.97101507,2.814111168,426.0256801,85.87832907,550.8172145,1036.712292,185.6913509,5.253359149,4.398899902,2.090092809,10.43077949,1.620732297,159.6480594,140.2243923,34.91379975,12.90498175
4,2018_EEL,0,Black Walnut,0,0,0,0,0,7.124123534,300.7593819,0.132186342,31.49260369,2.317354899,2.913445573,43.934707,0.791525963,3.620942601,1.275191717,262.8425977,66.64331791,2.996399353,0.911545124,0.883070277,88.59426884,1.247920271,2.689763041,42.62128574,45.10123131,2.560757284,418.3392394,48.08060977,553.1695778,961.4634241,196.558159,5.581466055,4.352769644,1.70988727,9.581343334,2.576191593,131.3001181,147.015321,35.77778505,12.66524933
6,2018_EEL,0,Black Walnut,0,0,0,0,0,8.858281543,296.9084601,0.140621033,29.67008186,2.40490441,3.727423283,43.61287767,0.79800626,3.860563898,1.649234315,256.718425,65.13748343,2.828490315,1.011692322,0.875702264,89.7541939,1.652488719,2.57182943,43.76342237,54.64223704,2.461726679,566.2427708,49.61804383,603.9334496,970.6903114,223.8765825,5.13080887,4.122388725,2.148207629,9.001072072,1.204312789,169.0938193,137.2687204,26.31574447,13.42907226
8,2018_EEL,0,Black Walnut,0,0,0,0,0,7.452130594,269.2920715,0.129748897,28.92635893,2.996025146,5.182879029,60.82749272,0.778369115,2.955857975,1.098116327,271.4653726,64.20278053,2.797674859,1.012893571,1.004344726,92.08487328,1.372965813,2.174522756,41.97682428,55.90955411,2.252991963,444.6683968,71.20461772,722.0572111,1125.090193,229.4022122,5.075170111,4.274303287,1.64691317,9.895677494,2.793680839,233.6774292,137.5027097,47.42021263,17.20316548
9,2018_EEL,0,Black Walnut,0,0,0,0,0,8.27959737,280.2563044,0.201223012,38.21207638,2.855452993,2.585258991,57.19376757,0.780408919,3.497533072,1.241248414,247.5765603,62.75775095,2.713121166,1.339278959,1.318576302,86.55035394,0.860160931,2.191730062,45.99762562,30.20254032,1.003913908,418.9874808,91.7383495,636.9199762,211.3875354,134.4351613,6.996149378,5.455238302,1.557862863,14.30721227,5.1772768,98.56195493,70.04087344,15.09714391,13.59045614
10,2018_EEL,0,Black Walnut,0,0,0,0,0,5.006867345,294.9173698,0.083949454,31.18362513,1.647588982,2.433712439,53.46513209,0.786445963,3.616141031,1.31927234,281.0673073,65.57675043,2.853543041,1.265678065,1.142025073,85.59548174,1.701366133,2.691063346,43.86877707,51.49339699,3.24072393,455.1787622,62.73041777,579.0006067,904.0221223,194.3933982,5.120006757,4.271338832,1.819501333,9.12269965,2.805620688,205.6499696,94.15473252,28.49603218,11.3870359
12,2018_EEL,0,Black Walnut,0,0,0,0,0,6.057931613,308.2397762,0.131779115,29.12991585,1.967089267,3.619283513,39.20370049,0.789943598,3.376325527,1.177395566,232.5476252,64.37826143,2.767466385,1.200753553,0.891127269,90.11623896,1.237136309,1.958973129,43.20181557,50.14578558,2.180203914,271.5641776,48.41710197,532.1512119,515.5611141,160.3391617,6.490595717,3.602785947,2.163037306,10.59208736,1.899690803,244.166164,169.10247,40.16782037,18.46988891
13,2018_EEL,0,Black Walnut,0,0,0,0,0,5.866569775,294.4521374,0.124605653,32.15669497,2.284214335,3.310188075,49.15642727,0.788392947,3.476596384,1.342626998,267.9748872,65.99694483,2.924914851,1.490091809,1.17521112,88.38243265,1.3737372,2.15236919,42.9327441,49.82037634,2.512448523,471.6015175,54.50282877,559.7140375,844.0999066,233.7511395,5.106056367,4.09383079,2.151121043,9.444661038,2.49481319,186.9681198,130.8802942,35.00683142,12.27699655
14,2018_EEL,0,Black Walnut,0,0,0,0,0,8.775000923,283.9199804,0.123397965,28.04072598,2.736160961,5.053146459,53.93409276,0.77574467,3.186347333,1.200488991,293.1657582,67.38198083,3.042631592,0.522819057,0.62177179,94.10115642,1.600453853,2.366845078,42.08433625,54.15808954,3.022799846,468.1398327,63.06994843,898.8686426,974.3729631,220.7280837,5.417891971,4.430654467,1.038859265,8.560166277,2.146309982,167.806159,168.7265398,38.29105725,13.88534851
15,2018_EEL,0,Black Walnut,0,0,0,0,0,7.928412723,295.4897743,0.120726179,29.63112645,1.941179161,4.14598624,44.48595967,0.797510196,3.825595949,1.549567571,247.0389702,65.55503312,2.846732168,0.776953488,1.164422848,89.29166078,1.952663737,2.547567171,43.39823655,54.51226317,2.373220478,542.2755988,51.02044119,722.1219242,1236.9339,222.5877324,4.512196366,4.120663332,2.32983046,7.520526999,0.996768272,243.865219,151.2037157,32.82060102,14.36855158
16,2018_EEL,0,Black Walnut,0,0,0,0,0,9.856785222,314.8660214,0.142160989,29.89394606,2.31334743,3.8197205,35.3676201,0.798290262,3.834635791,1.591696043,240.6099067,63.318914,2.716008047,0.864132515,0.845404491,89.01842878,2.431173129,2.691111189,44.26864628,57.04248085,3.143350263,530.4294409,18.18918125,734.452084,1162.159128,171.9065137,4.924830603,4.166702466,1.772282609,10.50735743,0.057567704,110.1190145,112.8521074,31.56507261,8.646999587
17,2018_EEL,0,Black Walnut,0,0,0,0,0,4.106346373,294.6452793,0.095582638,32.32790788,1.429767533,3.301210665,48.00656915,0.776011408,3.302976727,1.141820287,275.2373072,65.30782919,2.848824894,1.272460945,1.531850264,88.89259514,1.470260673,2.242442984,43.13442227,50.17470332,2.509759908,434.0235176,75.81811803,668.1861277,574.9848502,193.6780046,5.38152955,4.119100972,2.325772645,9.027961629,1.811895625,245.6255035,149.6209562,33.46314535,12.72872097
19,2018_EEL,0,Black Walnut,0,0,0,0,0,8.417662441,283.8787033,0.219892425,34.92562213,3.581694719,2.318843108,56.38024345,0.763092538,2.939356588,0.965868613,306.9273027,65.64542398,2.949946063,1.391166441,1.277374339,87.07231841,0.046938579,2.672754143,45.1649,31.87588769,0.749453364,361.3607392,92.17493176,769.4907647,527.7981722,150.3078671,6.228907561,4.895933352,1.954753229,13.36364635,3.753899295,178.2620577,50.49954592,16.77462271,12.76175892
20,2018_EEL,0,Black Walnut,0,0,0,0,0,11.51407621,279.8644588,0.261787775,35.87088842,4.891911594,1.652637084,52.13155501,0.77098809,3.156421686,1.010993722,241.8286535,62.37807814,2.716994474,1.480178281,0.868659836,84.52882395,0.683301354,1.940823259,45.83530033,28.81997564,0.592491074,323.7531612,71.13459518,438.5582057,432.7937381,138.103592,6.946313753,4.321168328,2.414394169,13.95798324,3.81140955,153.6922932,59.08740145,20.49013388,14.53702184
21,2018_EEL,0,Black Walnut,0,0,0,0,0,9.549855012,271.3599197,0.127619981,31.40123567,3.53170722,5.00413718,58.90024421,0.78631515,3.41613895,1.423753166,301.6175568,67.26861712,3.097378011,0.457177647,0.713044165,93.60127472,1.278116337,2.554574951,41.90122187,62.06563627,2.988291006,496.2810619,56.45341836,913.0061273,1212.059307,205.0027217,4.411666779,4.099003483,2.684567479,6.278899569,3.159555888,310.6621352,138.70386,22.48440523,13.19902105
22,2018_EEL,0,Black Walnut,0,0,0,0,0,6.063533668,296.967412,0.15885695,32.44486519,2.435413063,3.373958742,43.14768664,0.778811322,3.390039195,1.369850535,258.5086297,61.96616645,2.720198818,1.582885703,1.518541177,86.32342741,0.918219556,2.66560952,46.03177236,28.00095588,0.79434183,423.6370151,87.24822291,582.5125599,483.191075,144.1107015,6.129442824,5.300290122,1.738848831,14.00946567,2.519657279,175.7027575,62.69625376,14.59656234,15.21714872
23,2018_EEL,0,Black Walnut,0,0,0,0,0,5.800408168,267.987607,0.092911568,25.30255861,1.224516449,5.637979084,54.61364384,0.765924757,3.447334552,1.346140452,301.0634609,65.31045837,2.967357452,1.35807038,0.706576048,88.60882392,1.375922316,2.822249473,43.00956633,54.18913896,2.69961563,597.4485752,83.50718712,853.4815832,1593.389075,233.3522434,3.610457738,4.299040383,3.417375203,6.437655048,2.595605113,305.8243225,134.5423749,17.24756873,8.595499385
25,2018_EEL,0,Black Walnut,0,0,0,0,0,6.542028593,278.1381581,0.089431533,27.5624837,2.145164786,3.997124879,55.84734891,0.767823366,3.334609033,1.371195394,264.9172934,65.53240224,2.953602559,1.334624895,0.626852439,88.54431782,2.240622642,2.848383507,43.61073528,53.76212436,3.0987337,467.5085106,69.60645061,703.2801243,1108.256442,192.9921747,5.347975631,4.307883382,2.765897168,10.69139494,2.082687628,263.126189,155.3857625,23.60091974,11.15973708
26,2018_EEL,0,Black Walnut,0,0,0,0,0,8.785873853,271.4605039,0.124710345,25.45887652,2.40643297,5.299964004,53.96512087,0.771973312,3.491157714,1.45553897,299.3935877,64.69515003,2.927289421,0.939947859,0.885999972,86.59914904,2.188127726,3.003402626,42.84402009,70.1412383,2.876391457,557.4433557,57.16767061,934.9304119,1677.963062,207.0702475,4.330454109,4.079978681,3.451971718,9.859779404,2.138272771,238.524761,168.1451983,18.75548903,9.938919923
27,2018_EEL,0,Black Walnut,0,0,0,0,0,7.40077378,262.9548945,0.144834951,28.27783304,2.523183452,5.136801402,61.46991358,0.793189476,3.599488256,1.485144647,246.5157184,64.93034907,2.804201469,0.980168851,1.126489506,91.95624691,1.570127613,2.643627193,42.22269579,53.3832776,2.769806037,506.7613178,63.09258776,674.382669,1176.090773,240.3293225,5.316565604,4.194320484,2.167644675,10.30586879,3.040752147,216.805705,131.9331147,37.14214773,15.47168177
28,2018_EEL,0,Black Walnut,0,0,0,0,0,4.366208921,274.0989688,0.091686996,27.66130748,1.396415472,4.529568344,57.37733847,0.774537319,3.788118612,1.678659125,207.9871284,58.57779262,2.404491964,1.707459352,0.93935826,89.15567232,2.378495604,2.902533419,44.8444597,53.7060517,2.644256385,596.0810834,58.30362068,688.0085565,1296.127785,180.2309613,6.214078271,4.169833004,2.92114842,9.660744957,0.081998257,298.3640739,180.04996,19.35357378,13.13371037
29,2018_EEL,0,Black Walnut,0,0,0,0,0,6.927891602,296.5407654,0.179496692,39.3218678,3.220594251,2.717413249,50.63217999,0.764744142,2.838460334,0.917625926,291.306504,65.57451888,2.901492951,1.443712975,1.2679908,86.24774127,0.731134393,2.625309772,45.50396956,24.26608498,0.727475591,399.6045902,92.34484067,631.1573467,506.2326772,141.8945379,6.499466072,4.997838358,1.681841806,12.89242762,3.591966035,171.0362612,53.27617774,25.2630307,13.15055166
30,2018_EEL,0,Black Walnut,0,0,0,0,0,9.55214372,270.4391052,0.112250636,28.48724306,2.303231026,3.592194277,60.59558765,0.777849362,3.608059664,1.39279204,282.2259036,64.75552598,2.975583132,0.890844256,1.059287955,88.79679587,1.270420765,2.914725968,43.32524816,55.11272401,2.331307775,505.076182,47.33291039,628.6241644,968.1846007,176.8486716,6.482601071,4.324300873,2.850248712,11.54192623,2.857546323,169.87864,163.4436582,25.76103884,10.53825702
31,2018_EEL,0,Black Walnut,0,0,0,0,0,7.146192485,273.9053684,0.131089064,29.54515423,2.479902635,4.288884165,55.41534459,0.776499609,3.346686217,1.122588751,256.1020819,62.74324218,2.65212747,1.428946306,0.689951439,91.51777151,1.719469783,2.319273743,43.15270952,58.53292056,2.756941699,398.8237652,63.33701321,592.4407243,977.633134,213.1554032,4.366050337,4.599128509,2.791213389,6.407055532,1.281683106,249.2239978,97.88500904,38.08934293,12.55295761
32,2018_EEL,0,Black Walnut,0,0,0,0,0,9.064714903,289.3558699,0.153751834,33.25792957,2.562858135,4.523298585,47.9731904,0.802211803,3.86224056,1.535196757,265.4833674,64.21662172,2.844485056,1.055447278,0.610212259,92.67427635,1.232990948,2.773872953,42.86824463,51.14174067,2.843181408,495.4328376,55.92043742,806.8968363,1058.765371,241.0131654,4.024258417,4.557750321,2.134452786,6.341013747,2.11358469,312.0270753,122.0734476,31.87561203,11.88539984
33,2018_EEL,0,Black Walnut,0,0,0,0,0,4.908641661,309.5022423,0.12336208,30.9370435,2.189555744,3.396774697,45.41457852,0.76754339,2.901133483,0.814714833,302.579732,66.68409527,3.047371896,1.078020811,0.9983164,93.50666884,0.809763634,2.295982624,41.85085923,49.35645323,2.797256341,242.9976118,48.1177997,502.9089262,592.0250626,163.0053042,5.253040431,3.521742688,1.710477257,7.849656002,0.9076344,139.8820755,158.6427304,44.88133192,18.60749445
34,2018_EEL,0,Black Walnut,0,0,0,0,0,9.102315472,249.7670284,0.122267127,28.8561249,3.175368946,3.292488472,69.03443764,0.757978503,3.184570843,1.162796075,266.2551468,63.87673084,2.8869761,1.403069965,0.746134083,87.01599311,1.615933271,2.325656313,43.83564696,63.4721869,2.970383359,406.620542,63.59329664,492.9170387,1144.590858,169.3203826,4.737521552,4.163442565,3.814290154,8.496074347,1.584386636,142.5605802,123.2204273,27.71746092,7.915382132
35,2018_EEL,0,Black Walnut,0,0,0,0,0,9.406181578,270.6953235,0.12688232,25.10322437,2.635984246,4.71174667,52.44854685,0.765286217,3.277854164,1.289194921,271.79603,66.06897295,3.050196949,0.391155145,0.339098104,91.23522706,1.03346024,2.591107218,42.53391129,65.25863224,2.887464568,463.5958292,65.28307333,693.9478083,1168.723203,193.2555446,5.063359227,3.82227689,3.071196079,6.860641489,2.494832829,276.4338587,162.9230215,21.56898486,11.81523595
37,2018_EEL,0,Black Walnut,0,0,0,0,0,5.627517946,288.5774212,0.141812793,30.58516414,1.3503592,3.508449314,53.9750629,0.77973192,3.675190023,1.239143263,257.2135312,62.73363098,2.729139562,1.410450859,1.257608307,87.63920102,1.047335681,2.781863619,45.43616915,21.79981858,1.129530072,425.5914035,105.7524197,672.5506837,537.3877308,187.7511857,5.427590547,5.666886007,1.402004747,12.25850998,3.034182568,115.4272426,68.59320054,25.03881452,11.135757
38,2018_EEL,0,Black Walnut,0,0,0,0,0,12.81781241,287.8988044,0.279053607,36.77546609,5.189274918,2.107404157,48.89847534,0.778227724,3.267493429,1.033154496,286.4883926,66.65482891,3.003027001,1.425644126,1.147358226,85.20354189,0.671429803,2.462052282,45.27102073,26.1549755,0.753449092,399.9380532,49.93965494,511.1999721,624.7546054,160.7908315,6.305183078,4.236323098,2.581998792,12.0152127,3.437554966,151.9057745,74.44481901,25.09481777,12.9916149
39,2018_EEL,0,Black Walnut,0,0,0,0,0,7.154141947,281.3860275,0.107498108,29.40665322,1.687342776,4.484752263,52.3676806,0.784360415,3.611389503,1.484889653,271.1963514,65.40250081,3.036667016,0.618194137,0.686658585,90.53595676,1.16940666,2.293763955,43.31337961,53.34539452,2.249548129,471.6367504,44.34980219,735.5664791,862.9952526,139.5012411,6.699429977,3.49065757,2.970415677,11.23259922,2.405349022,118.4936007,184.757852,27.82437661,14.65083461
40,2018_EEL,0,Black Walnut,0,0,0,0,0,3.009889163,300.7545981,0.077245462,25.71909792,0.560750188,4.842193214,43.46538767,0.765297737,3.799271142,1.551660776,226.1329634,62.44767827,2.624591078,1.399147938,0.677297939,87.6886376,2.392424767,2.646007073,44.38666831,50.52045215,3.117382145,476.7927267,43.22375162,708.8636327,1017.558931,180.3242622,5.377276991,4.138443131,1.942800971,5.825206239,1.691370398,192.1223945,148.4553768,16.96953052,12.0003603
41,2018_EEL,0,Black Walnut,0,0,0,0,0,7.431007372,297.3626317,0.103301212,22.68661694,2.448006218,4.366641173,42.71234099,0.768719366,3.254140107,1.247275658,230.4774579,62.64139032,2.72212492,1.314074206,0.409419139,85.04017304,1.422532546,2.013023521,43.88882474,54.74580273,2.588000883,423.8870701,65.74448132,478.4831628,1078.746159,193.0123573,5.730041933,4.308511541,2.670557348,8.424814409,3.279139844,321.1431307,165.64622,23.99613817,13.16762647
42,2018_EEL,0,Black Walnut,0,0,0,0,0,6.251529187,292.7813906,0.085418828,30.2851366,1.882515351,3.743583787,51.10828623,0.775901484,3.251283443,1.267097538,291.176938,65.41285543,3.019556401,1.123859333,0.829570235,90.6108625,1.439133013,2.373832945,43.01191041,52.33578917,2.279156847,416.9570489,46.38531167,658.7860672,566.2674325,127.7869726,6.351732449,3.802414828,2.764975844,10.74968608,1.934081099,203.4770233,172.3023013,33.30861623,13.67640152
43,2018_EEL,0,Black Walnut,0,0,0,0,0,11.41664475,300.4563059,0.25320698,38.41722748,4.732099887,2.126620373,43.50857954,0.778549069,3.060922689,1.016047621,293.1245286,65.75235826,2.970629115,1.345643567,1.115814323,85.65227455,0.674930814,2.073531978,45.45552649,30.28487398,0.723153777,355.6020827,51.93719147,424.8229504,123.3921676,116.7340437,7.149144579,4.400080593,1.810185862,13.8551564,3.912705246,81.19257892,71.36610171,17.87301758,15.48881167
44,2018_EEL,0,Black Walnut,0,0,0,0,0,12.6773721,300.4975138,0.24829535,36.4066479,4.58415785,2.029074259,44.25741936,0.778510266,3.069688196,1.047449325,263.960008,63.69583655,2.826103066,1.014933876,1.356902438,84.29482751,0.190120581,2.32472664,45.95885007,22.09011133,0.380783211,322.5703486,62.88278139,376.2448773,189.0014673,117.941299,6.181372704,5.526173248,1.855624896,12.89915461,5.845700492,95.54297685,24.49199274,22.91737873,10.42482082
46,2018_EEL,0,Black Walnut,0,0,0,0,0,8.261117002,258.0337419,0.107872416,23.98873576,2.165470386,4.183877025,64.20246745,0.762978395,3.185394612,1.375036844,275.1131905,67.10294814,3.086066999,1.524462461,0.842945868,88.27844288,1.751062795,2.244530815,43.46727036,60.89350018,2.289116312,442.9150553,54.76497587,743.5010207,1032.143864,161.6988072,5.034600593,3.586648847,3.199991296,10.03426352,2.075821842,251.7936941,171.9505519,23.590692,12.83214927
47,2018_EEL,0,Black Walnut,0,0,0,0,0,7.865547774,284.442447,0.108497824,24.21374736,1.772427629,5.6390843,53.94026037,0.772893299,3.516647148,1.497536237,210.5441397,59.34657905,2.440961466,0.885350098,0.57615377,88.82084656,2.24973415,2.803394308,44.76600789,54.61355952,2.80629204,625.7149903,51.84447206,825.4756869,1828.175728,211.8255361,4.65858287,4.146774074,1.708013324,6.66202002,1.183096218,351.777418,144.1965408,24.07411254,9.381587327
48,2018_EEL,0,Black Walnut,0,0,0,0,0,7.316132603,270.8947516,0.11436368,26.44976051,1.823615493,4.356876267,54.42489749,0.755882682,3.307743828,1.364977036,288.4507263,65.57371472,2.989120728,1.053510446,0.656880472,90.73884289,2.171048819,3.467363417,43.30256143,67.87760819,2.451554972,545.6560058,74.37390907,864.7246686,1243.944385,182.8820272,6.315564613,4.399803685,3.046174838,10.89231682,2.529131548,293.0923681,157.7390645,15.51849334,10.42146332
49,2018_EEL,0,Black Walnut,0,0,0,0,0,11.2089879,290.7518991,0.237624675,38.22392339,4.561645207,2.403059441,49.88679541,0.774560318,2.916606847,1.013062841,305.1538618,68.43748661,3.147502158,1.166624822,1.321213827,88.01696241,0.489832582,2.300994294,45.29120591,31.0042118,0.819942433,427.9457423,68.69991812,451.6995748,445.2218247,115.1648477,6.831169048,4.56181686,1.857810618,12.88805644,3.159909357,122.5013105,66.75649854,20.8414696,15.03129275
50,2018_EEL,0,Black Walnut,0,0,0,0,0,12.29691754,289.4649431,0.259056378,37.42082556,5.668129622,1.690793522,50.37806121,0.762899335,2.861733966,0.72818123,283.5449263,65.2982849,2.913873042,1.6345169,1.179767,84.92885711,0.488462242,2.377120744,45.21628942,27.35785998,0.260108453,275.3896817,70.55237887,375.0355811,302.5999284,131.835069,7.404977247,4.223996363,2.552002053,12.87541972,2.952399432,144.5593439,101.380536,25.06741505,13.27345348
51,2018_EEL,0,Black Walnut,0,0,0,0,0,9.877633072,240.5230821,0.162952463,25.39576985,2.656506385,3.578276558,70.69212668,0.749719642,2.982631206,1.146478125,267.0236002,65.73723884,3.03738253,0.76631053,0.721738591,89.49367916,1.770845178,2.211368199,43.08626112,54.88650872,2.623631969,451.7926893,64.76125421,700.4646313,1283.614305,158.7184109,5.208648193,4.135464551,2.728775608,11.85157184,3.303071724,288.2488618,150.1617073,30.45199334,10.92557025
52,2018_EEL,0,Black Walnut,0,0,0,0,0,6.016246569,270.5613789,0.113164359,27.95139381,1.96028127,4.67735837,59.16152368,0.772924047,3.553503666,1.358781013,275.0472984,60.6983544,2.549916699,1.259959636,0.775683658,87.26211241,2.05872942,2.952368516,43.99360252,55.33744562,2.513100466,603.5516985,62.53675068,915.0969161,1571.895464,240.1308271,4.995720013,4.475216913,2.81363459,13.01837762,2.33464533,83.82176133,142.472301,20.63464539,10.7752464
53,2018_EEL,0,Black Walnut,0,0,0,0,0,9.837296523,275.2720046,0.147867641,24.92424425,3.638951027,3.647960459,51.45871929,0.789368161,3.096775585,1.242053154,270.9044858,62.39041913,2.624871006,1.369943768,0.792802615,87.7104856,2.270268109,2.041003355,43.34645154,55.93258075,2.19588616,514.7212432,39.21985059,734.3358889,1272.22877,177.0758392,4.949211874,4.464106821,3.328833296,12.58643543,4.709594516,193.0978279,117.5012858,38.83574214,14.29202327
55,2018_EEL,0,Black Walnut,0,0,0,0,0,8.761437481,288.6167065,0.136229829,27.21137513,2.492585983,3.624596095,50.28695368,0.772869562,3.596207806,1.550664893,241.5402597,61.96593572,2.710999626,1.629988864,0.607273807,89.5517571,2.098822307,2.093052571,44.33876896,62.19733767,2.790029604,570.0594749,52.04721054,787.4283267,1562.712201,207.699739,4.698275734,4.507572028,3.610128661,9.689203687,4.657138762,260.4170254,144.8336008,13.33417152,8.040591215
56,2018_EEL,0,Black Walnut,0,0,0,0,0,8.300064059,270.3592887,0.125801168,28.68490865,3.303850511,3.372066997,57.76614366,0.767011831,3.021442143,1.136996785,257.5701911,63.03150657,2.721105742,1.334375065,0.645925046,89.00926653,1.614689539,2.207401114,43.52487856,61.86330834,2.383157882,384.1771771,57.61511817,612.7351615,1232.799622,160.473188,5.635929258,3.85226742,4.186957369,11.94684551,2.760227313,295.454164,154.1529803,32.31005399,13.85137613
57,2018_EEL,0,Black Walnut,0,0,0,0,0,11.21064033,264.822048,0.131820515,23.81706763,2.903102682,3.368223464,56.89691202,0.762635509,3.381258802,1.373129068,251.9146489,63.40307829,2.822510418,0.835058113,0.606365945,90.10745645,2.412851471,1.998191875,43.60638407,64.37555016,2.863805613,536.3816005,62.08587534,823.9640813,1465.142641,183.2019967,5.580781997,4.538953811,2.829174422,9.237448153,3.855961229,335.1750058,153.8850492,20.24995445,11.90402912
58,2018_EEL,0,Black Walnut,0,0,0,0,0,7.309502517,260.0548703,0.135950168,25.59850493,2.428148892,4.05377842,59.46924387,0.767451437,3.175275354,1.293669932,259.1245355,63.88570571,2.859985334,1.589189702,0.348645545,88.80552365,1.457005928,1.774398732,43.51532244,59.44077406,2.70489264,533.1290192,78.39371095,709.2795876,1714.461902,230.6157967,5.048748857,4.275319634,3.180545948,8.350913445,4.007449364,190.7981068,155.9725526,27.33991637,9.988632006
59,2018_EEL,0,Black Walnut,0,0,0,0,0,9.253864302,280.374706,0.235634421,38.48540653,4.346617541,2.978281658,54.93775589,0.756319104,2.672002475,0.889976778,267.3458452,65.08469604,2.923470058,1.287533068,1.10379083,88.33740195,0.200278726,2.316907198,44.51675975,29.79354084,0.682178853,417.0212867,86.10400488,651.3861319,625.1543002,167.1403533,6.728000576,4.815180516,1.791118465,13.0254783,4.439038015,165.922139,63.87101485,27.00221313,15.64183125
60,2018_EEL,0,Black Walnut,0,0,0,0,0,9.631495463,290.5179767,0.29011643,38.26648469,4.338587133,2.570045119,48.38295143,0.760817945,2.631207661,0.818670451,262.2477441,65.77597204,2.977607832,1.002687222,0.99406831,87.35755409,0.288166397,1.614901229,44.00732295,20.47641564,0.087425234,242.7700309,75.5145443,733.4534189,470.9639124,116.8153281,6.408049872,3.545315485,1.858036611,11.82639905,4.138502611,179.5807446,118.9581416,36.05333553,20.30510054
61,2018_EEL,0,Black Walnut,0,0,0,0,0,5.466768099,281.1247842,0.17531096,39.48920826,2.18836074,3.880150877,61.66168836,0.774570051,3.324788158,1.114176981,251.2979926,62.40733605,2.616818418,1.480043995,1.465392288,86.59379532,1.179604598,2.756951934,45.97881324,22.33008923,0.232821479,385.0108524,90.20735861,643.8904281,383.7542024,147.6422807,6.763841921,4.886644913,1.589306959,13.53480147,2.053096836,164.8674374,85.44273152,21.50030191,15.27653543
62,2018_EEL,0,Black Walnut,0,0,0,0,0,8.332211304,273.1842087,0.137063549,28.43945743,2.350864506,5.149133446,57.09765773,0.781258124,3.470877869,1.525243283,252.2921066,65.97624507,2.936517007,1.872917038,1.255771099,92.01702951,1.565693553,2.089041581,43.3774531,58.09860076,3.109031018,499.698661,43.65914256,688.04331,1298.446087,171.1034579,5.010349857,3.365934531,4.038739271,11.06209969,1.351431167,251.3085179,150.0343809,30.24702091,15.62985444
63,2018_EEL,0,Black Walnut,0,0,0,0,0,9.698812072,260.8251278,0.1213845,24.4471886,2.692530678,4.293140361,67.47941277,0.768394967,3.241690878,1.372481016,279.9501523,65.2734229,3.098986596,1.478391028,0.729378471,90.61569029,1.504423987,2.44416119,42.63568686,56.57153463,2.59978019,557.1836578,65.08926709,794.6376966,1444.075402,210.7428638,5.683929235,4.441277754,1.908725145,13.02501483,4.682778577,112.9266182,155.0160205,23.48612258,12.75078168
64,2018_EEL,0,Black Walnut,0,0,0,0,0,12.73091066,285.025898,0.266864505,36.7162945,5.028955174,2.054279352,49.51855748,0.777563678,3.108882155,1.012783963,268.1981925,67.59082909,3.113600478,1.134725896,0.762191594,87.13959874,0.421654423,2.471060369,44.98989568,28.95846774,0.608652044,324.5869424,70.80759282,442.581942,428.6613336,153.3165633,5.502961331,4.585082695,2.268015606,11.41237355,4.354395181,211.9597415,87.26777182,26.06975306,10.7080348
65,2018_EEL,0,Black Walnut,0,0,0,0,0,12.97492109,317.8934568,0.26612893,39.31309937,5.351604664,1.900101839,31.57427808,0.769126954,2.797352515,0.904715142,317.7040001,67.86294392,3.135324391,1.098756122,1.155300851,86.26868141,0.399892305,2.181297443,44.96168604,27.25392242,0.547656423,357.8314276,47.85989416,676.852988,479.7604348,122.5868912,6.028386838,4.734628625,1.867174182,13.11103447,5.301596885,218.7554283,60.68538945,24.39588786,14.06457774
